groupId,artifactId
org.codehaus.groovy.modules.http-builder,http-builder
com.github.ata4,ioutils
com.amazonaws,aws-java-sdk-s3
org.bouncycastle,bcpg-jdk15on
org.apache.tez,tez-mapreduce
com.cloudbees,syslog-java-client
io.usethesource,capsule
org.lwjgl,lwjgl-lmdb
org.apache.spark,spark-mllib_2.10
net.kyori,adventure-platform-bukkit
me.crafter.mc,lockettepro
net.serenity-bdd,serenity-junit
com.aerse,mockfs
ring,ring-json
org.apache.spark,spark-mllib_2.12
org.mineacademy.plugin,Vault
com.ibatis,ibatis
org.openjfx,javafx-media
com.google.security.zynamics.binnavi,yfileswrap-obfuscated
org.noear,nami.channel.socketd.websocket
org.apache.tomcat.embed,tomcat-embed-el
cn.hutool,hutool-http
org.eclipse.jetty,apache-jstl
io.kcache,kcache
net.infonode,idw-gpl
com.esotericsoftware.yamlbeans,yamlbeans
org.jdesktop,appframework
com.github.haifengl,smile-nlp
org.emboss,jemboss
io.socket,socket.io-client
org.jmock,jmock-legacy
org.jenkins-ci.plugins,jquery
org.hamcrest,hamcrest-all
com.github.ben-manes.caffeine,guava
net.snaq,dbpool
javax.mail,javax.mail-api
me.lucko,helper-profiles
com.github.Slimefun,Slimefun4
com.github.martinpaljak,capfile
org.hibernate,hibernate-entitymanager
org.noear,nami.channel.socketd.netty
org.jenkinsci.plugins,kubernetes-credentials
com.flowpowered,flow-networking
java3d,j3d-core
org.noear,solon.boot.jetty.add.jsp
org.clueminer,dataset-impl
io.swagger,swagger-core
org.apache.logging.log4j,log4j-iostreams
org.eclipse.collections,eclipse-collections-api
org.apache.maven,maven-artifact
org.jetbrains.kotlin,kotlin-test
org.codehaus.groovy,groovy-jsr223
com.google.truth.extensions,truth-proto-extension
org.jenkins-ci.plugins,ssh-agent
com.alibaba.nacos,nacos-client
org.noear,guava-solon-plugin
com.github.DieReicheErethons,Brewery
com.aliyun.openservices,aliyun-log-producer
org.orbisgis,h2gis-functions
org.testfx,testfx-core
org.apache.ws.security,wss4j
io.norberg,auto-matter-jackson
com.baomidou,mybatis-plus-core
org.springframework,spring-test
de.jarnbjo,j-ogg-all
com.github.jai-imageio,jai-imageio-jpeg2000
org.openpreservation.jhove,jhove-core
com.baidu.aip,java-sdk
me.lucko,commodore
org.noear,weed3-solon-plugin
org.apache.wicket,wicket-util
org.testcontainers,junit-jupiter
org.noear,mybatis-pagehelper-solon-plugin
com.github.insubstantial,substance
org.jenkins-ci.main,maven-plugin
org.noear,kafka-solon-plugin
com.massivecraft,Factions
info.picocli,picocli-shell-jline3
io.kareldb,kareldb-core
net.spy,spymemcached
org.apache.directory.shared,shared-ldap-schema-manager
