groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
us.springett,vulndb-data-mirror,1.0.1,null,null,true,,https://repo1.maven.org/maven2/us/springett/vulndb-data-mirror/1.0.1/vulndb-data-mirror-1.0.1.jar,temp/dependencies/DependencyTrack/dependency-track/us/springett/vulndb-data-mirror/1.0.1/vulndb-data-mirror-1.0.1.jar
org.postgresql,postgresql,42.3.2,null,null,true,,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.3.2/postgresql-42.3.2.jar,temp/dependencies/DependencyTrack/dependency-track/org/postgresql/postgresql/42.3.2/postgresql-42.3.2.jar
xerces,xercesImpl,2.12.2,null,null,true,,https://repo1.maven.org/maven2/xerces/xercesImpl/2.12.2/xercesImpl-2.12.2.jar,temp/dependencies/DependencyTrack/dependency-track/xerces/xercesImpl/2.12.2/xercesImpl-2.12.2.jar
org.mockito,mockito-core,4.3.1,null,null,true,,https://repo1.maven.org/maven2/org/mockito/mockito-core/4.3.1/mockito-core-4.3.1.jar,temp/dependencies/DependencyTrack/dependency-track/org/mockito/mockito-core/4.3.1/mockito-core-4.3.1.jar
com.fasterxml.woodstox,woodstox-core,6.2.8,null,null,true,,https://repo1.maven.org/maven2/com/fasterxml/woodstox/woodstox-core/6.2.8/woodstox-core-6.2.8.jar,temp/dependencies/DependencyTrack/dependency-track/com/fasterxml/woodstox/woodstox-core/6.2.8/woodstox-core-6.2.8.jar
org.apache.commons,commons-compress,1.21,null,null,true,,https://repo1.maven.org/maven2/org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/commons/commons-compress/1.21/commons-compress-1.21.jar
javax.activation,javax.activation-api,1.2.0,null,null,true,,https://repo1.maven.org/maven2/javax/activation/javax.activation-api/1.2.0/javax.activation-api-1.2.0.jar,temp/dependencies/DependencyTrack/dependency-track/javax/activation/javax.activation-api/1.2.0/javax.activation-api-1.2.0.jar
mysql,mysql-connector-java,8.0.28,null,null,true,,https://repo1.maven.org/maven2/mysql/mysql-connector-java/8.0.28/mysql-connector-java-8.0.28.jar,temp/dependencies/DependencyTrack/dependency-track/mysql/mysql-connector-java/8.0.28/mysql-connector-java-8.0.28.jar
us.springett,cpe-parser,2.0.2,null,null,true,,https://repo1.maven.org/maven2/us/springett/cpe-parser/2.0.2/cpe-parser-2.0.2.jar,temp/dependencies/DependencyTrack/dependency-track/us/springett/cpe-parser/2.0.2/cpe-parser-2.0.2.jar
org.mock-server,mockserver-netty,5.11.2,null,null,true,,https://repo1.maven.org/maven2/org/mock-server/mockserver-netty/5.11.2/mockserver-netty-5.11.2.jar,temp/dependencies/DependencyTrack/dependency-track/org/mock-server/mockserver-netty/5.11.2/mockserver-netty-5.11.2.jar
org.apache.lucene,lucene-queries,8.11.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queries/8.11.1/lucene-queries-8.11.1.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/lucene/lucene-queries/8.11.1/lucene-queries-8.11.1.jar
org.apache.lucene,lucene-queryparser,8.11.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/8.11.1/lucene-queryparser-8.11.1.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/lucene/lucene-queryparser/8.11.1/lucene-queryparser-8.11.1.jar
org.glassfish.jaxb,jaxb-runtime,2.3.6,null,null,true,,https://repo1.maven.org/maven2/org/glassfish/jaxb/jaxb-runtime/2.3.6/jaxb-runtime-2.3.6.jar,temp/dependencies/DependencyTrack/dependency-track/org/glassfish/jaxb/jaxb-runtime/2.3.6/jaxb-runtime-2.3.6.jar
io.pebbletemplates,pebble,3.1.5,null,null,true,,https://repo1.maven.org/maven2/io/pebbletemplates/pebble/3.1.5/pebble-3.1.5.jar,temp/dependencies/DependencyTrack/dependency-track/io/pebbletemplates/pebble/3.1.5/pebble-3.1.5.jar
us.springett,alpine,${project.parent.version},null,null,true,1.10.4,https://repo1.maven.org/maven2/us/springett/alpine/1.10.4/alpine-1.10.4.jar,temp/dependencies/DependencyTrack/dependency-track/us/springett/alpine/1.10.4/alpine-1.10.4.jar
