dependency,count
org.slf4j:jcl-over-slf4j,35
org.projectlombok:lombok,87
org.harctoolbox:HarcHardware,1
org.eclipse.jetty:jetty-server,16
args4j:args4j,13
br.com.caelum.vraptor:vraptor-freemarker,1
org.tukaani:xz,7
net.dongliu:gson-java8-datatype,1
com.typesafe.scala-logging:scala-logging-slf4j_2.11,1
org.glassfish.grizzly:grizzly-http-servlet-server,1
it.uniroma1.dis.wsngroup.gexf4j:gexf4j,1
nl.jqno.equalsverifier:equalsverifier,6
io.vertx:vertx-core,2
com.sk89q.worldguard:worldguard-legacy,3
org.eclipse.jetty:jetty-alpn-java-server,1
io.nats:jnats,1
io.opencensus:opencensus-exporter-stats-stackdriver,1
net.Indyuce:MMOCore,1
com.aliyun:aliyun-java-sdk-core,5
org.apache.sanselan:sanselan,1
com.github.mpkorstanje:simmetrics-core,1
net.seninp:jmotif-gi,1
org.neo4j:neo4j-cypher,1
org.apache.pdfbox:pdfbox,11
org.mybatis:mybatis-spring,13
org.noear:solon.schedule,1
info.picocli:picocli-shell-jline3,1
org.benf:cfr,1
org.hsqldb:hsqldb,21
de.dfki.mary:voice-dfki-obadiah-hsmm,1
com.github.fracpete:jshell-scripting,1
io.agroal:agroal-pool,1
org.scalatestplus:junit-4-12_2.13,1
org.jruby:jruby-complete,1
org.scala-lang:scala-reflect,2
io.vertx:vertx-dropwizard-metrics,1
com.bergerkiller.bukkit:BKCommonLib,1
org.snakeyaml:snakeyaml-engine,1
com.nisovin.shopkeepers:ShopkeepersAPI,1
com.github.ua-parser:uap-java,1
br.net.fabiozumbi12.RedProtect:RedProtect-Core,1
de.themoep.utils:lang-bukkit,1
org.fenixedu:tinTools,1
org.noear:hasor-solon-plugin,1
org.noear:nami.coder.jackson,1
org.noear:sentinel-solon-plugin,1
com.github.jgraph:jgraphx,1
org.littleshoot:littleproxy,2
com.google.cloud:google-cloud-vision,1
org.primefaces:primefaces,3
com.squareup.retrofit2:retrofit,5
org.apache.tomcat.embed:tomcat-embed-jasper,3
org.pac4j:pac4j-oauth,1
avalon-framework:avalon-framework,1
org.apache.omid:omid-commit-table,1
org.kingdoms:kingdoms,1
org.apache.samza:samza-core_2.11,1
io.github.git-commit-id:git-commit-id-plugin-core,1
org.jruby:jruby-stdlib,1
org.apache.lucene:lucene-memory,1
org.janusgraph:janusgraph-core,1
org.jboss.arquillian.extension:arquillian-rest-client-impl-3x,1
com.xeiam.xchange:xchange-openexchangerates,1
org.clueminer:clustering-api,1
org.netbeans.api:org-netbeans-api-annotations-common,1
org.json:json,40
org.codehaus.woodstox:stax2-api,4
org.eclipse.jetty:apache-jsp,2
org.noear:solon.socketd,1
org.jline:jline-terminal,3
org.jboss.interceptor:jboss-interceptor-spi,1
io.confluent:kafka-streams-avro-serde,1
net.lingala.zip4j:zip4j,2
de.is24.common:appmon4j-spring,1
com.github.xiaoymin:knife4j-spring-boot-starter,3
com.vaadin.external.google:android-json,1
io.kcache:kcache,1
org.apache.hadoop:hadoop-annotations,2
org.apache.maven:maven-aether-provider,2
com.sun.jersey.contribs:jersey-apache-client4,1
org.codehaus.groovy:groovy-all-minimal,1
com.twitter.common:stats-util,1
com.kjetland:mbknor-jackson-jsonschema_2.12,1
org.scpsolver:SCPSolver,1
org.netbeans.api:org-netbeans-modules-editor-util,1
org.slf4j:slf4j-simple,60
org.apache.poi:poi-ooxml-schemas,4
io.cucumber:cucumber-picocontainer,2
org.graalvm.sdk:graal-sdk,2
org.msgpack:jackson-dataformat-msgpack,1
de.tr7zw:item-nbt-api-plugin,2
ch.qos.reload4j:reload4j,1
org.apache.santuario:xmlsec,1
com.github.insubstantial:substance,1
com.aliyun:aliyun-java-sdk-kms,1
com.ettrema:milton-servlet,1
org.orbisgis:h2gis-utilities,1
org.apache.tiles:tiles-core,1
org.xhtmlrenderer:core-renderer,1
org.aspectj:aspectjrt,12
org.noear:luffy-solon-plugin,1
com.eclipsesource.minimal-json:minimal-json,4
org.boofcv:boofcv-swing,1
org.apache.axis:axis,1
org.microbean:microbean-microprofile-config,1
javax.interceptor:javax.interceptor-api,6
com.sun:attach,1
me.lucko:helper-profiles,1
org.codehaus.plexus:plexus-java,1
org.apache.pulsar:pulsar-client-original,1
io.confluent:kafka-connect-storage-wal,1
org.codehaus.jackson:jackson-core-lgpl,1
org.noear:mybatis-sqlhelper-solon-plugin,1
org.agrona:agrona,5
wiiusej:wiiusej,1
org.springframework.social:spring-social-web,1
org.apache.axis2:axis2-transport-http,2
nu.pattern:opencv,1
com.marswork:marswork-websupport,1
com.github.goxr3plus:java-google-speech-api,1
ch.cyberduck:azure,1
org.mineacademy.plugin:TownyChat,1
com.twelvemonkeys.imageio:imageio-psd,1
org.netbeans.modules:org-netbeans-modules-projectapi-nb,1
org.jenkins-ci:test-annotations,1
com.github.jai-imageio:jai-imageio-jpeg2000,2
org.assertj:assertj-core,68
commons-fileupload:commons-fileupload,30
org.fenixedu:bennu-io,1
com.carrotsearch:junit-benchmarks,5
org.antlr:antlr-runtime,5
org.noear:solon.view.jsp,1
io.confluent:common-utils,1
io.springfox:springfox-swagger-ui,12
org.boofcv:boofcv-core,1
antlr:antlr,3
org.modelmapper:modelmapper,2
io.reactivex.rxjava2:rxjava,3
io.jsonwebtoken:jjwt,7
com.frostwire:jlibtorrent,1
org.fusesource.jansi:jansi,6
org.apache.maven.wagon:wagon-http,1
