dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.fasterxml.jackson.core:jackson-databind,com.google.code.gson:gson,17,124,106,0.14,0.16,0.16
com.google.guava:guava,org.slf4j:slf4j-api,59,179,236,0.33,0.25,0.33
ch.qos.logback:logback-classic,com.fasterxml.jackson.core:jackson-databind,24,119,124,0.2,0.19,0.2
com.fasterxml.jackson.core:jackson-databind,commons-io:commons-io,44,124,169,0.35,0.26,0.35
com.google.code.gson:gson,org.apache.commons:commons-lang3,30,106,160,0.28,0.19,0.28
ch.qos.logback:logback-classic,org.slf4j:slf4j-api,88,119,236,0.74,0.37,0.74
com.google.guava:guava,junit:junit,107,179,471,0.6,0.23,0.6
com.google.code.gson:gson,org.mockito:mockito-core,20,106,153,0.19,0.13,0.19
com.fasterxml.jackson.core:jackson-databind,junit:junit,81,124,471,0.65,0.17,0.65
com.fasterxml.jackson.core:jackson-databind,org.slf4j:slf4j-api,57,124,236,0.46,0.24,0.46
ch.qos.logback:logback-classic,commons-io:commons-io,34,119,169,0.29,0.2,0.29
org.mockito:mockito-core,org.slf4j:slf4j-api,54,153,236,0.35,0.23,0.35
org.apache.commons:commons-lang3,org.mockito:mockito-core,45,160,153,0.28,0.29,0.29
com.google.guava:guava,commons-io:commons-io,53,179,169,0.3,0.31,0.31
com.google.code.gson:gson,org.slf4j:slf4j-api,40,106,236,0.38,0.17,0.38
commons-io:commons-io,junit:junit,96,169,471,0.57,0.2,0.57
com.google.guava:guava,org.mockito:mockito-core,45,179,153,0.25,0.29,0.29
ch.qos.logback:logback-classic,com.google.guava:guava,33,119,179,0.28,0.18,0.28
junit:junit,org.slf4j:slf4j-api,168,471,236,0.36,0.71,0.71
com.google.code.gson:gson,junit:junit,64,106,471,0.6,0.14,0.6
ch.qos.logback:logback-classic,junit:junit,79,119,471,0.66,0.17,0.66
com.google.guava:guava,org.apache.commons:commons-lang3,63,179,160,0.35,0.39,0.39
ch.qos.logback:logback-classic,com.google.code.gson:gson,19,119,106,0.16,0.18,0.18
ch.qos.logback:logback-classic,org.apache.commons:commons-lang3,31,119,160,0.26,0.19,0.26
ch.qos.logback:logback-classic,org.mockito:mockito-core,27,119,153,0.23,0.18,0.23
com.google.code.gson:gson,com.google.guava:guava,32,106,179,0.3,0.18,0.3
commons-io:commons-io,org.apache.commons:commons-lang3,64,169,160,0.38,0.4,0.4
commons-io:commons-io,org.slf4j:slf4j-api,67,169,236,0.4,0.28,0.4
com.fasterxml.jackson.core:jackson-databind,org.mockito:mockito-core,31,124,153,0.25,0.2,0.25
org.apache.commons:commons-lang3,org.slf4j:slf4j-api,64,160,236,0.4,0.27,0.4
com.fasterxml.jackson.core:jackson-databind,com.google.guava:guava,45,124,179,0.36,0.25,0.36
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-lang3,42,124,160,0.34,0.26,0.34
junit:junit,org.mockito:mockito-core,93,471,153,0.2,0.61,0.61
junit:junit,org.apache.commons:commons-lang3,92,471,160,0.2,0.58,0.58
com.google.code.gson:gson,commons-io:commons-io,24,106,169,0.23,0.14,0.23
commons-io:commons-io,org.mockito:mockito-core,43,169,153,0.25,0.28,0.28
