dependencies,count
"[commons-io:commons-io,junit:junit,org.apache.httpcomponents:httpclient,org.json:json]",1
"[org.projectlombok:lombok,org.springframework.boot:spring-boot-starter-data-jpa]",1
"[javax.annotation:javax.annotation-api,javax.servlet:javax.servlet-api,junit:junit,org.bouncycastle:bcprov-jdk15on,org.mockito:mockito-core,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12]",1
"[commons-codec:commons-codec,commons-io:commons-io,org.apache.commons:commons-lang3,org.easymock:easymock,org.hamcrest:hamcrest,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,org.junit.vintage:junit-vintage-engine]",1
"[com.google.code.gson:gson,io.netty:netty,junit:junit,org.apache.httpcomponents:httpasyncclient,org.mockito:mockito-all]",1
"[com.google.code.gson:gson,jgaap-5.2.0-lite:jgaap-5.2.0-lite,junit:junit,nz.ac.waikato.cms.weka:weka-stable,org.annolab.tt4j:org.annolab.tt4j,org.apache.spark:spark-core_2.10,org.apache.spark:spark-mllib_2.10,org.apache.spark:spark-sql_2.10,org.mockito:mockito-all,org.slf4j:slf4j-log4j12]",1
"[com.comino:mavcom,com.comino:mavmap,com.fazecast:jSerialComm,com.github.WilliamAHartman:Jamepad,com.github.javaparser:javaparser-core,com.google.code.gson:gson,com.googlecode.soundlibs:jlayer,commons-net:commons-net,eu.hansolo:Medusa,mavbase:mavbase,net.objecthunter:exp4j,objimport:objimport,org.fxyz3d:fxyz3d,org.jcodec:jcodec,org.jcodec:jcodec-javase,org.openjfx:javafx-controls,org.openjfx:javafx-fxml,org.openjfx:javafx-media,org.openjfx:javafx-swing]",1
"[net.java.jinput:jinput,org.mockito:mockito-core,org.testng:testng]",1
"[com.vdurmont:emoji-java,com.vladsch.flexmark:flexmark-all,commons-cli:commons-cli,eu.bitwalker:UserAgentUtils,org.b3log:latke-core,org.b3log:latke-repository-h2,org.b3log:latke-repository-mysql,org.jodd:jodd-http,org.jsoup:jsoup,org.owasp.encoder:encoder,org.testng:testng,org.yaml:snakeyaml]",1
"[com.google.code.gson:gson,net.javacrumbs.json-unit:json-unit-assertj,org.assertj:assertj-core,org.awaitility:awaitility,org.jobrunr:jobrunr,org.junit.jupiter:junit-jupiter,org.slf4j:slf4j-simple,org.testcontainers:junit-jupiter,org.testcontainers:testcontainers]",1
"[com.github.stefanbirkner:fishbowl,commons-io:commons-io,junit:junit-dep,org.assertj:assertj-core,org.mockito:mockito-core]",1
