repositoryName,dependencies
SimpleAmazonGlacierUploader/SAGU,"[com.amazonaws:aws-java-sdk,com.fasterxml.jackson.core:jackson-core,commons-codec:commons-codec,commons-logging:commons-logging,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.hamcrest:hamcrest-all,org.mockito:mockito-all,org.testng:testng]"
theborakompanioni/thymeleaf-extras-shiro,"[com.google.guava:guava,junit:junit,org.apache.shiro:shiro-core,org.apache.shiro:shiro-lang,org.easymock:easymock,org.hamcrest:hamcrest-all,org.slf4j:jcl-over-slf4j,org.thymeleaf:thymeleaf,pl.pragmatists:JUnitParams]"
schibsted/jslt,"[com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,junit:junit]"
tabulapdf/tabula-java,"[com.github.jai-imageio:jai-imageio-core,com.github.jai-imageio:jai-imageio-jpeg2000,com.google.code.gson:gson,commons-cli:commons-cli,junit:junit,org.apache.commons:commons-csv,org.apache.pdfbox:jbig2-imageio,org.apache.pdfbox:pdfbox,org.bouncycastle:bcmail-jdk15on,org.bouncycastle:bcprov-jdk15on,org.locationtech.jts:jts-core,org.slf4j:slf4j-api,org.slf4j:slf4j-simple]"
hyperledger/fabric-gateway-java,"[com.ibm.cloud:cloudant,commons-codec:commons-codec,io.cucumber:cucumber-java8,io.cucumber:cucumber-junit,org.assertj:assertj-core,org.hyperledger.fabric-sdk-java:fabric-sdk-java,org.junit.jupiter:junit-jupiter-engine,org.junit.jupiter:junit-jupiter-params,org.junit.platform:junit-platform-launcher,org.junit.vintage:junit-vintage-engine,org.mockito:mockito-core]"
uber/h3-java,"[com.google.guava:guava,junit:junit,org.openjdk.jmh:jmh-core,org.openjdk.jmh:jmh-generator-annprocess]"
desktopqa/Cynthia,"[axis:axis,axis:axis-jaxrpc,axis:axis-saaj,backport-util-concurrent:backport-util-concurrent,com.alibaba:druid,com.alibaba:fastjson,com.sun:tools,com.thetransactioncompany:cors-filter,com.thetransactioncompany:java-property-utils,commons-fileupload:commons-fileupload,commons-httpclient:commons-httpclient,commons-io:commons-io,javax.mail:mail,javax.servlet:servlet-api,log4j:log4j,mysql:mysql-connector-java,net.sf.ehcache:ehcache,net.sf.ezmorph:ezmorph,net.sf.json-lib:json-lib,org.apache.camel:camel-core,org.apache.camel:camel-spring,org.apache.poi:poi,org.apache.poi:poi-ooxml,org.apache.poi:poi-ooxml-schemas,org.beanshell:bsh,org.ebaysf.web:cors-filter,org.jfree:jfreechart,org.slf4j:slf4j-api,org.slf4j:slf4j-jdk14,org.springframework:spring-aop,org.springframework:spring-asm,org.springframework:spring-aspects,org.springframework:spring-beans,org.springframework:spring-context,org.springframework:spring-context-support,org.springframework:spring-core,org.springframework:spring-expression,org.springframework:spring-jdbc,org.springframework:spring-orm,org.springframework:spring-test,org.springframework:spring-tx,org.springframework:spring-web,org.springframework:spring-webmvc]"
RUB-NDS/BurpSSOExtension,"[bouncycastle:bcprov-jdk16,com.beetstra.jutf7:jutf7,com.fifesoft:rsyntaxtextarea,com.github.rub-nds:WS-Attacker-Library_Signature_Wrapping,com.googlecode.json-simple:json-simple,commons-codec:commons-codec,commons-io:commons-io,junit:junit,net.portswigger.burp.extender:burp-extender-api,org.jdesktop:beansbinding,org.json:json]"
GeyserMC/GeyserConnect,"[com.nukkitx.network:raknet,mysql:mysql-connector-java,net.minecrell:terminalconsoleappender,org.geysermc:core,org.projectlombok:lombok,org.xerial:sqlite-jdbc]"
AlibabaTech/fastjson,"[cglib:cglib-nodep,com.fasterxml.jackson.core:jackson-databind,com.google.code.gson:gson,com.googlecode.json-simple:json-simple,com.owlike:genson,commons-io:commons-io,javax.ws.rs:jsr311-api,junit:junit,net.minidev:json-smart,net.sf.json-lib:json-lib,org.clojure:clojure,org.codehaus.groovy:groovy,org.codehaus.jackson:jackson-core-lgpl,org.codehaus.jackson:jackson-jaxrs,org.codehaus.jackson:jackson-mapper-lgpl,org.codehaus.jackson:jackson-smile,org.springframework:spring-web,xom:xom]"
albfernandez/juniversalchardet,"[commons-codec:commons-codec,junit:junit]"
Plugily-Projects/BuildBattle,"[com.alessiodp.parties:parties-api,com.mojang:authlib,commons-io:commons-io,de.simonsator:Party-and-Friends-MySQL-Edition-Spigot-API,de.simonsator:Spigot-Party-API-For-RedisBungee,de.simonsator:partyandfriends,io.papermc.paper:paper-api,me.clip:placeholderapi,me.tigerhix.lib:scoreboard,net.citizensnpcs:citizensapi,org.bstats:bstats-bukkit,org.jetbrains:annotations,plugily.projects.inventoryframework:IF,plugily.projects:commons-box-classic,plugily.projects:commons-box-database,plugily.projects:commons-box-minecraft]"
w3c/epubcheck,"[com.google.guava:guava,com.googlecode.json-simple:json-simple,com.twelvemonkeys.imageio:imageio-jpeg,io.cucumber:cucumber-java,io.cucumber:cucumber-junit,io.cucumber:cucumber-picocontainer,junit:junit,net.sf.saxon:Saxon-HE,org.apache.commons:commons-compress,org.codehaus.jackson:jackson-core-asl,org.codehaus.jackson:jackson-mapper-asl,org.hamcrest:hamcrest,org.relaxng:jing,org.w3c.css:sac,xmlunit:xmlunit]"
FasterXML/woodstox,"[net.java.dev.msv:msv-core,net.java.dev.msv:xsdlib,org.apache.felix:org.osgi.core,org.codehaus.woodstox:stax2-api,relaxngDatatype:relaxngDatatype]"
javaswift/joss,"[com.googlecode.jmockit:jmockit,commons-io:commons-io,junit:junit-dep,org.apache.httpcomponents:httpclient,org.codehaus.jackson:jackson-mapper-asl,org.slf4j:jcl-over-slf4j,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12]"
fommil/matrix-toolkits-java,"[com.github.fommil:java-logging,com.google.guava:guava,junit:junit,net.sf.opencsv:opencsv,org.projectlombok:lombok]"
wesabe/grendel,"[com.codahale:shore,joda-time:joda-time,joda-time:joda-time-hibernate,junit:junit,mysql:mysql-connector-java,org.bouncycastle:bcpg-jdk16,org.codehaus.jackson:jackson-jaxrs,org.codehaus.jackson:jackson-xc,org.easytesting:fest-assert,org.mockito:mockito-all]"
FenixEdu/fenixedu-academic,"[com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.github.axet:kaptcha,com.google.code.gson:gson,com.google.guava:guava,com.googlecode.libphonenumber:libphonenumber,com.konghq:unirest-java,com.lowagie:itext,com.sun.mail:javax.mail,com.twilio.sdk:twilio,commons-beanutils:commons-beanutils,commons-collections:commons-collections,commons-httpclient:commons-httpclient,commons-io:commons-io,commons-lang:commons-lang,commons-validator:commons-validator,javax.faces:jsf-api,javax.faces:jsf-impl,javax.servlet.jsp:jsp-api,javax.ws.rs:javax.ws.rs-api,joda-time:joda-time,net.sourceforge.htmlcleaner:htmlcleaner,org.apache.poi:poi,org.fenixedu:bennu-core,org.fenixedu:bennu-io,org.fenixedu:bennu-modular-rendering,org.fenixedu:bennu-portal,org.fenixedu:bennu-renderers,org.fenixedu:bennu-scheduler,org.fenixedu:bennu-search,org.fenixedu:bennu-spring,org.fenixedu:bennu-struts,org.fenixedu:fenixedu-commons,org.fenixedu:fenixedu-spaces,org.fenixedu:messaging-core,org.fenixedu:postCodeTools,org.fenixedu:sms-dispatch,org.fenixedu:tinTools,org.imgscalr:imgscalr-lib,org.jsoup:jsoup,org.mnode.ical4j:ical4j,org.xhtmlrenderer:core-renderer,pt.ist:fenix-sibs-payments,pt.ist:standards,pt.ist:tidy,taglibs:datetime,taglibs:string]"
4refr0nt/ESPlorer,"[com.fifesoft:autocomplete,com.fifesoft:rsyntaxtextarea,io.github.java-native:jssc,org.jdesktop:beansbinding,org.netbeans.external:AbsoluteLayout]"
uber/RemoteShuffleService,"[com.uber.m3:tally-core,org.apache.curator:curator-test,org.apache.hadoop:hadoop-client,org.apache.hadoop:hadoop-common,org.apache.hadoop:hadoop-minicluster,org.assertj:assertj-core,org.eclipse.jetty:jetty-servlet,org.jacoco:org.jacoco.agent,org.scala-lang:scala-library,org.testng:testng]"
