repositoryName,mcrTags
SimpleAmazonGlacierUploader/SAGU,"[matching,testing]"
theborakompanioni/thymeleaf-extras-shiro,"[matching,testing]"
tabulapdf/tabula-java,"[encryption,github]"
hyperledger/fabric-gateway-java,"[cloud,ibm,mock,mocking,testing]"
desktopqa/Cynthia,"[api,framework,javax,mail,mvc,servlet,specs,spring,standard,testing,web]"
AlibabaTech/fastjson,"[codehaus,mapping]"
javaswift/joss,"[junit,testing]"
wesabe/grendel,"[date,time]"
FenixEdu/fenixedu-academic,"[annotations,collections,date,html,io,json,metadata,parser,structures,time]"
vmware/vsphere-automation-sdk-java,"[annotations,apache,commons,json,metadata]"
yakaz/elasticsearch-action-updatebyquery,"[matching,testing]"
EhsanTang/ApiManager,"[annotations,framework,javax,json,mail,metadata,mvc,specs,spring,standard,testing,web]"
jexp/batch-import,"[mock,mocking,testing]"
voodoodyne/subethasmtp,"[javax,mail,specs,standard]"
RojerAlone/shop,"[apache,commons,framework,mail,mvc,spring,testing,web]"
gitlab4j/gitlab4j-api,"[matching,mock,mocking,testing]"
arturmkrtchyan/iban4j,"[benchmark,junit,performance,testing]"
intive-FDV/DynamicJasper,"[api,collections,javax,servlet,specs,spring,standard,structures,testing]"
graphaware/neo4j-timetree,"[date,time]"
SomMeri/less4j,"[compiler,parser,runtime]"
noear/solon,"[amazon,apache,aws,bridge,cache,client,commons,config,framework,http,jetty,jsp,kafka,logging,mvc,netty,network,persistence,plugin,s3,sdk,serialization,server,slf4j,socket,spring,starter,streaming,web,webserver,websocket]"
eBay/parallec,"[annotations,apache,commons,json,metadata,mock,mocking,network,ssh,testing]"
garbagemule/MobArena,"[matching,mock,mocking,testing]"
arangodb/arangodb-java-driver,"[matching,testing]"
keedio/flume-ng-sql-source,"[mock,mocking,testing]"
coinbase/coinbase-java,"[date,time]"
eclipsesource/J2V8,"[mock,mocking,testing]"
rrd4j/rrd4j,"[apache,bridge,logging,slf4j]"
SeleniumHQ/fluent-selenium,"[matching,mock,mocking,testing]"
romankh3/image-comparison,"[mock,mocking,testing]"
sensepost/mallet,"[language,python,runtime,swing,ui]"
MarkusBernhardt/proxy-vole,[config]
Hello-hao/Tbed,"[github,sdk,spring,starter,testing]"
alibaba/spring-context-support,"[spring,testing]"
hyperledger/fabric-sdk-java,"[mock,mocking,testing]"
microsoft/Git-Credential-Manager-for-Mac-and-Linux,"[mock,mocking,testing]"
elennick/retry4j,"[mock,mocking,testing]"
gnuhpc/Kafka-zk-restapi,"[apache,api,commons,date,io,swagger,time,ui]"
mjuhasz/BDSup2Sub,"[junit,swing,testing,ui]"
f-lab-edu/food-delivery,"[apache,commons]"
jhalterman/concurrentunit,"[matching,testing]"
leonchen83/redis-rdb-cli,"[apache,bridge,logging,slf4j]"
rabbitmq/rabbitmq-perf-test,"[apache,commons,mock,mocking,testing]"
Col-E/Recaf,"[command-line,shell]"
logfellow/logstash-logback-encoder,"[mock,mocking,testing]"
gabrie-allaigre/sonar-gitlab-plugin,"[apache,commons,mock,mocking,sonar,testing]"
bpodgursky/jbool_expressions,"[compiler,parser,runtime]"
pinterest/secor,"[amazon,annotations,aws,json,metadata,mock,mocking,s3,sdk,testing]"
michaellavelle/spring-data-dynamodb,"[apache,commons,mock,mocking,testing]"
JSQLParser/JSqlParser,"[apache,commons,matching,mock,mocking,testing]"
ozlerhakan/mongolastic,"[apache,bridge,logging,slf4j]"
NemProject/nem.core,[encryption]
forcedotcom/wsc,"[annotations,json,metadata]"
damianszczepanik/cucumber-reporting,"[apache,collections,commons,date,structures,time]"
psal/jstylo,"[ai,apache,machine-learning,spark]"
alibaba/compileflow,"[apache,commons,expression,language,mock,mocking,spring,testing]"
aliyun/aliyun-log-logback-appender,"[date,logging,producer,time]"
cobbzilla/s3s3mirror,"[amazon,apache,aws,commons,date,mock,mocking,s3,sdk,testing,time]"
sbtourist/Journal.IO,"[benchmark,junit,performance,testing]"
phybros/servertap,"[mock,mocking,testing]"
MyRobotLab/myrobotlab,"[annotations,apache,api,client,commons,deep-learning,github,io,javax,json,language,machine-learning,mail,metadata,python,runtime,specs,standard,swing,ui]"
dice-group/AGDISTIS,"[apache,commons,github,nlp]"
blinkfox/fenix,"[expression,language,spring,testing]"
reinert/JJSchema,"[annotations,json,metadata]"
caelum/mamute,"[apache,collections,commons,date,javax,mail,matching,mock,mocking,specs,standard,structures,testing,time]"
Slimefun/Slimefun4,"[mock,mocking,testing]"
ahus1/prometheus-hystrix,"[apache,bridge,logging,slf4j]"
CodeStory/fluent-http,"[annotations,apache,assets,bootstrap,classpath,commons,github,io,json,metadata,mock,mocking,scanning,testing,web]"
jenkinsci/gerrit-trigger-plugin,"[apache,commons]"
cheese10yun/spring-guide,"[api,io,swagger,ui]"
yindz/common-random,"[apache,commons]"
ESAPI/esapi-java-legacy,"[encryption,mock,mocking,testing]"
everitoken/evt4j,"[apache,commons,date,time]"
hantsy/angularjs-springmvc-sample-boot,"[annotations,api,io,json,metadata,swagger,ui]"
kafka-ops/julie,"[annotations,json,metadata,mock,mocking,testing]"
IQSS/dataverse,"[apache,api,commons,config,google,mock,mocking,platform,service,testing]"
VisualDataWeb/OWL2VOWL,"[apache,bridge,commons,logging,matching,slf4j,testing]"
nurkiewicz/spring-data-jdbc-repository,"[spring,testing]"
spring-cloud/spring-cloud-deployer-kubernetes,"[mock,mocking,testing]"
sladkoff/minecraft-prometheus-exporter,"[mock,mocking,testing]"
luoye663/e5,"[apache,commons]"
Nilhcem/FakeSMTP,"[apache,commons,layout,mail,swing,ui]"
SERG-Delft/jpacman-framework,"[mock,mocking,testing]"
apache/commons-dbcp,"[apache,commons,mock,mocking,testing]"
sanger-pathogens/Artemis,"[mock,mocking,testing]"
frohoff/ysoserial,"[apache,collections,interface,jboss,language,mock,mocking,python,runtime,structures,testing,wicket]"
oskopek/javaanpr,"[mock,mocking,testing]"
ua-parser/uap-java,"[matching,testing]"
apache/commons-fileupload,"[api,javax,servlet,specs,standard]"
confluentinc/kafka-streams-examples,"[mock,mocking,testing]"
jlinn/quartz-redis-jobstore,"[annotations,json,matching,metadata,testing]"
huaban/jieba-analysis,"[apache,commons]"
andrew-hoffman/halfnes,"[mock,mocking,testing]"
mewna/catnip,"[apache,commons,encryption,mock,mocking,testing]"
awslabs/aws-codebuild-jenkins-plugin,"[date,mock,mocking,reflection,testing,time]"
jenkinsci/kubernetes-cd-plugin,"[annotations,date,json,metadata,mock,mocking,testing,time]"
bonitasoft/bonita-engine,"[client,engine]"
typetools/checker-framework,"[apache,api,commons,javax,servlet,specs,standard]"
apache/commons-csv,"[apache,commons,mock,mocking,testing]"
scify/JedAIToolkit,"[apache,commons]"
chewiebug/GCViewer,"[mock,mocking,testing]"
jenkinsci/kubernetes-plugin,"[agent,apache,commons,date,jenkins,kubernetes,network,plugin,ssh,time]"
Lihuanghe/SMSGate,"[apache,commons]"
palatable/lambda,"[mock,mocking,testing]"
mahmoudparsian/data-algorithms-book,"[ai,apache,collections,commons,graph,machine-learning,matching,spark,structures,testing,wiki]"
nysenate/OpenLegislation,"[apache,api,bridge,commons,framework,javax,logging,mail,matching,mvc,slf4j,specs,spring,standard,testing,web]"
commjoen/wrongsecrets,"[assets,bootstrap,web]"
harrywfl/JavaGuide,[encryption]
yandex-qatools/postgresql-embedded,"[matching,mock,mocking,spring,testing]"
Scout24/yum-repo-server,"[collections,date,framework,mock,mocking,mvc,security,spring,structures,testing,time,web]"
wkrzywiec/kanban-board,"[api,io,swagger,ui]"
seagull1985/LuckyFrameClient,"[collections,javax,mail,network,specs,ssh,standard,structures]"
arthurgregorio/web-budget,"[apache,api,commons,javax,mail,security,specs,standard]"
Frameworkium/frameworkium-core,"[annotations,apache,commons,github,io,json,metadata,testing,testng]"
oripa/oripa,"[mock,mocking,testing]"
zalando/tokens,"[apache,bridge,logging,mock,mocking,slf4j,testing]"
liquibase/liquibase-hibernate,"[hibernate,jpa,persistence,spring,testing]"
SonicCloudOrg/sonic-server-simple,"[github,spring,starter]"
adennie/fb-android-dagger,[compiler]
jiaqi/jmxterm,"[apache,commons,mock,mocking,testing]"
yuyufeng1994/KnowledgeLibrary,"[ai,apache,collections,framework,javax,machine-learning,mail,mvc,specs,spring,standard,structures,testing,web]"
pac4j/spring-webmvc-pac4j,"[framework,mvc,spring,web]"
eclipse/buildship,"[kotlin,testing]"
crossoverJie/distributed-redis-tool,"[api,framework,javax,mvc,servlet,specs,spring,standard,web]"
superhj1987/pragmatic-java-engineer,"[apache,cache,commons,date,framework,github,mvc,serialization,spring,time,web]"
st-tu-dresden/salespoint,"[junit,matching,testing]"
hazelcast/hazelcast-kubernetes,"[mock,mocking,testing]"
rcarz/jira-client,"[date,time]"
PapenfussLab/gridss,"[apache,commons]"
OWASP/SecurityShepherd,"[javax,junit,mail,matching,mock,mocking,specs,spring,standard,testing]"
flapdoodle-oss/de.flapdoodle.embed.process,"[apache,builder,commons]"
smola/galimatias,"[i18n,ibm]"
shekhargulati/99-problems,"[matching,testing]"
langhsu/mblog,"[apache,security,spring,starter,web]"
spring-attic/greenhouse,"[api,aws,date,framework,integration,javax,junit,mail,mock,mocking,mvc,persistence,s3,security,servlet,specs,spring,standard,testing,time,web]"
gaia-app/gaia,"[junit,testing]"
Progether/JAdventure,"[matching,testing]"
CategoricalData/CQL,"[apache,commons,generator,graph,parser]"
jenkinsci/docker-plugin,"[api,docker,jenkins,plugin]"
AmadeusITGroup/sonar-stash,"[mock,mocking,testing]"
airlift/aircompressor,[compression]
vert-x3/vertx-mqtt,"[client,eclipse,mock,mocking,plugin,testing]"
ywilkof/spark-jobs-rest-client,"[mock,mocking,testing]"
danieldk/dictomaton,"[apache,benchmark,commons,junit,performance,testing]"
bkiers/Liqp,"[annotations,json,metadata]"
maxcom/lorsource,"[annotations,apache,bridge,date,framework,json,logging,metadata,mock,mocking,mvc,security,slf4j,spring,testing,time,web]"
lintool/Cloud9,"[graph,html,parser,wiki]"
jpush/jpush-api-java-client,"[encryption,mock,mocking,testing]"
DependencyTrack/dependency-track,"[apache,build,build-system,maven,mock,mocking,model,testing]"
tennaito/rsql-jpa,"[hibernate,jpa,persistence]"
jenkinsci/scm-sync-configuration-plugin,"[build,build-system,google,jenkins,maven,plugin,provider,scm]"
apache/commons-logging,"[api,javax,servlet,specs,standard]"
Moocar/logback-gelf,"[mock,mocking,testing]"
AndreyVMarkelov/jira-prometheus-exporter,"[apache,commons]"
Antabot/White-Jotter,"[mock,mocking,testing]"
citerus/dddsample-core,"[collections,structures]"
bingoohuang/eql,"[apache,commons,config,date,framework,google,mvc,reflection,service,spring,testing,time,web]"
ant-media/Ant-Media-Server,"[amazon,aws,s3,sdk]"
tjitze/RankPL,[io]
radkovo/Pdf2Dom,"[matching,testing]"
Blackdread/sql-to-jdl,"[apache,commons,junit,testing]"
codedrinker/community,"[apache,commons]"
graphaware/neo4j-nlp,"[annotations,apache,commons,json,metadata]"
mzheravin/exchange-core,"[apache,api,collections,commons,eclipse,mock,mocking,structures,testing]"
OfficeDev/ews-java-api,"[apache,commons,date,matching,mock,mocking,testing,time]"
graphaware/graph-aided-search,"[api,javax,mail,specs,standard]"
srikanth-lingala/zip4j,"[mock,mocking,testing]"
dessalines/torrenttunes-client,"[apache,commons]"
AwakenCN/InChat,"[apache,commons]"
rayokota/kareldb,"[annotations,apache,commons,compiler,eclipse,io,jetty,json,metadata,mock,mocking,scala,server,testing,webserver]"
arloor/HttpProxy,"[annotations,apache,bridge,encryption,json,logging,metadata,slf4j]"
marschall/memoryfilesystem,"[junit,matching,testing]"
reachkrishnaraj/kafka-elasticsearch-standalone-consumer,"[codehaus,jvm,language]"
sih4sing5hong5/google-sites-liberation,"[date,mock,mocking,testing,time]"
r2dbc/r2dbc-pool,"[mock,mocking,testing]"
pircbotx/pircbotx,"[apache,commons,mock,mocking,testing]"
zenuo/gogo,"[apache,bridge,commons,logging,slf4j]"
sdaschner/jaxrs-analyzer,"[annotations,json,metadata,mock,mocking,testing]"
wmixvideo/nfe,"[apache,commons]"
RumbleDB/rumble,"[ai,apache,commons,date,machine-learning,serialization,spark,time]"
amihaiemil/docker-java-api,"[matching,testing]"
zhangpengpengpeng/PedestrianDetectionSystem,"[annotations,aop,aspect,framework,json,metadata,mvc,pooling,spring,testing,web]"
jboss-javassist/javassist,"[matching,testing]"
BentoBoxWorld/BentoBox,"[mock,mocking,testing]"
HarvardPL/formulog,"[apache,commons]"
megagao/IndoorPos,"[apache,commons]"
perfree/go-fastdfs-web,"[apache,commons,github,spring,starter]"
optimaize/language-detector,"[junit,testing]"
healenium/healenium-web,"[apache,build,build-system,commons,junit,maven,model,testing]"
mcMMO-Dev/mcMMO,"[json,mock,mocking,platform,serialization,testing,text]"
Novetta/CLAVIN,"[apache,commons,mock,mocking,testing]"
151376liujie/wechat-core,"[apache,commons,framework,mvc,spring,testing,web]"
apache/samza-hello-samza,"[apache,authentication,hadoop,rocksdb]"
AppsFlyer/donkey,"[clojure,json]"
commoncrawl/news-crawl,[crawler]
jcbvm/i18n-editor,"[apache,commons]"
rickfast/consul-client,"[annotations,apache,commons,json,metadata]"
git-commit-id/git-commit-id-maven-plugin,"[mock,mocking,testing]"
GlowstoneMC/Glowstone,"[apache,build,build-system,maven,model,native]"
scorego/WechatRobot,"[apache,commons]"
rbmonster/learning-note,"[apache,codehaus,commons,jvm,language]"
termd/termd,"[encryption,io,network,ssh,websocket]"
makersoft/mybatis-shards,"[spring,testing]"
j256/ormlite-core,"[api,javax,persistence,specs,standard]"
r2dbc/r2dbc-h2,"[mock,mocking,testing]"
dermotte/LIRE,"[ai,computer-vision,pattern]"
ralscha/extdirectspring,"[security,spring]"
dadoonet/legacy-search,"[annotations,json,metadata]"
six2six/fixture-factory,"[mock,mocking,testing]"
DimpleFeng/DimpleBlog,"[api,github,io,spring,starter,swagger,ui]"
